t,theta,omega
0.178,3.352139364434019,2.0569984249236772
0.179,3.354197391699019,2.059057819166587
0.18,3.3562574793883,2.0611370361822297
0.181,3.35831964733455,2.063236086868927
0.182,3.3603839153813593,2.065354982203488
0.183,3.3624503033833024,2.0674937332404615
0.184,3.3645188312060124,2.0696523511113787
0.185,3.36658951872626,2.071830847023987
0.186,3.368662385832029,2.074029232261475
0.187,3.3707374524225924,2.076247518181688
0.188,3.3728147384085867,2.0784857162163344
0.189,3.3748942637120853,2.0807438378701804
0.19,3.376976048266673,2.0830218947202397
0.191,3.3790601120175165,2.085319898414949
0.192,3.3811464749214375,2.0876378606733366
0.193,3.383235156946982,2.089975793284181
0.194,3.385326178074491,2.092333708105158
0.195,3.3874195582961693,2.0947116170619813
0.196,3.3895153176161528,2.097109532147529
0.197,3.3916134760505767,2.099527465420963
0.198,3.3937140536276416,2.101965429006839
0.199,3.395817070387678,2.104423435094203
0.2,3.3979225463832123,2.1069014959356815
0.201,3.400030501679029,2.109399623846558
0.202,3.4021409563522345,2.1119178312038422
0.203,3.404253930492318,2.114456130445326
0.204,3.4063694442012133,2.117014534068632
0.205,3.408487517593358,2.1195930546302484
0.206,3.4106081707957516,2.122191704744555
0.207,3.4127314239480153,2.12481049708284
0.208,3.4148572972024476,2.127449444372302
0.209,3.4169858107240803,2.1301085593950453
0.21,3.4191169846907337,2.132787854987061
0.211,3.4212508392930707,2.1354873440372004
0.212,3.42338739473465,2.138207039486133
0.213,3.4255266712319763,2.1409469543252984
0.214,3.4276686890145536,2.143707101595843
0.215,3.4298134683249324,2.1464874943875465
0.216,3.43196102941876,2.1492881458377395
0.217,3.434111392564828,2.152109069130205
0.218,3.436264578045117,2.1549502774940716
0.219,3.4384206061548452,2.157811784202696
0.22,3.4405794972025094,2.160693602572529
0.221,3.4427412715099304,2.163595745961976
0.222,3.444905949412293,2.1665182277702413
0.223,3.4470735512581894,2.16946106143616
0.224,3.449244097409656,2.1724242604370207
0.225,3.451417608242214,2.175407838287377
0.226,3.453594104144906,2.1784118085378417
0.227,3.455773605520331,2.1814361847738715
0.228,3.4579561327846813,2.1844809806145418
0.229,3.4601417063677746,2.1875462097113054
0.23,3.4623303467130873,2.1906318857467397
0.231,3.464522074277785,2.193738022433282
0.232,3.466716909532752,2.1968646335119515
0.233,3.4689148729626216,2.2000117327510584
0.234,3.471115985065801,2.2031793339449006
0.235,3.4733202663545,2.206367450912447
0.236,3.4755277373547533,2.2095760974960075
0.237,3.477738418606445,2.21280528755989
0.238,3.479952330663331,2.216055034989045
0.239,3.4821694940930583,2.219325353687695
0.24,3.4843899294771856,2.222616257577953
0.241,3.4866136574112003,2.2259277605984242
0.242,3.4888406985045357,2.229259876702798
0.243,3.491071073380586,2.232612619858421
0.244,3.4933048026767186,2.2359860040448636
0.245,3.4955419070442892,2.239380043252464
0.246,3.4977824071486494,2.242794751480866
0.247,3.500026323669158,2.2462301427375366
0.248,3.5022736772991876,2.249686231036274
0.249,3.5045244887461333,2.253163030395699
0.25,3.506778778731414,2.256660554837731
0.251,3.5090365679904787,2.260178818386052
0.252,3.5112978772728063,2.2637178350645555
0.253,3.5135627273419074,2.2672776188957786
0.254,3.5158311389753214,2.2708581838993216
