t,theta,omega
0.172,1.9500016981194561,-0.5865972451541097
0.173,1.949414807477888,-0.590056053540175
0.174,1.9488244562979533,-0.5935156667320696
0.175,1.9482306437744432,-0.5969760882705801
0.176,1.947633369098607,-0.6004373216760657
0.177,1.9470326314581714,-0.6038993704483212
0.178,1.9464284300373622,-0.6073622380664421
0.179,1.9458207640169238,-0.6108259279886873
0.18,1.9452096325741408,-0.614290443652343
0.181,1.9445950348828587,-0.6177557884735853
0.182,1.9439769701135052,-0.6212219658473431
0.183,1.9433554374331115,-0.6246889791471609
0.184,1.9427304360053332,-0.6281568317250604
0.185,1.9421019649904727,-0.6316255269114026
0.186,1.9414700235455,-0.6350950680147494
0.187,1.940834610824075,-0.6385654583217247
0.188,1.9401957259765692,-0.6420367010968759
0.189,1.9395533681500883,-0.6455087995825342
0.19,1.9389075364884936,-0.6489817569986747
0.191,1.938258230132425,-0.6524555765427772
0.192,1.9376054482193235,-0.6559302613896857
0.193,1.9369491898834534,-0.6594058146914679
0.194,1.9362894542559255,-0.6628822395772742
0.195,1.9356262404647198,-0.6663595391531971
0.196,1.9349595476347086,-0.6698377165021296
0.197,1.93428937488768,-0.6733167746836235
0.198,1.9336157213423608,-0.6767967167337473
0.199,1.9329385861144404,-0.6802775456649442
0.2,1.932257968316594,-0.6837592644658895
0.201,1.9315738670585068,-0.6872418761013476
0.202,1.9308862814468977,-0.6907253835120286
0.203,1.9301952105855436,-0.6942097896144455
0.204,1.929500653575303,-0.6976950973007697
0.205,1.9288026095141413,-0.7011813094386875
0.206,1.9281010774971543,-0.7046684288712552
0.207,1.9273960566165937,-0.7081564584167549
0.208,1.9266875459618915,-0.7116454008685491
0.209,1.9259755446196845,-0.7151352589949357
0.21,1.9252600516738403,-0.7186260355390021
0.211,1.9245410662054818,-0.7221177332184796
0.212,1.923818587293013,-0.7256103547255972
0.213,1.9230926140121438,-0.7291039027269347
0.214,1.9223631454359171,-0.7325983798632763
0.215,1.921630180634733,-0.736093788749463
0.216,1.9208937186763753,-0.7395901319742456
0.217,1.9201537586260384,-0.743087412100137
0.218,1.9194102995463527,-0.7465856316632636
0.219,1.9186633404974107,-0.7500847931732176
0.22,1.9179128805367947,-0.7535848991129077
0.221,1.9171589187196025,-0.7570859519384107
0.222,1.9164014540984748,-0.7605879540788216
0.223,1.9156404857236218,-0.7640909079361048
0.224,1.9148760126428506,-0.7675948158849433
0.225,1.9141080339015923,-0.7710996802725892
0.226,1.9133365485429301,-0.7746055034187129
0.227,1.9125615556076256,-0.7781122876152523
0.228,1.9117830541341478,-0.7816200351262615
0.229,1.9110010431587006,-0.7851287481877597
0.23,1.9102155217152503,-0.788638429007579
0.231,1.9094264888355548,-0.7921490797652126
0.232,1.908633943549191,-0.7956607026116628
0.233,1.907837884883584,-0.7991732996692875
0.234,1.907038311864035,-0.8026868730316479
0.235,1.9062352235137514,-0.8062014247633547
0.236,1.9054286188538743,-0.8097169568999149
0.237,1.9046184969035085,-0.8132334714475776
0.238,1.9038048566797514,-0.8167509703831802
0.239,1.9029876971977229,-0.8202694556539933
0.24,1.9021670174705945,-0.8237889291775662
0.241,1.901342816509619,-0.8273093928415716
0.242,1.9005150933241606,-0.8308308485036503
0.243,1.8996838469217254,-0.8343532979912556
0.244,1.8988490763079906,-0.8378767431014966
0.245,1.8980107804868356,-0.8414011856009828
0.246,1.8971689584603724,-0.8449266272256662
0.247,1.896323609228976,-0.8484530696806858
0.248,1.8954747317913152,-0.8519805146402089
0.249,1.8946223251443846,-0.8555089637472743
0.25,1.893766388283534,-0.8590384186136344
0.251,1.8929069202025013,-0.8625688808195968
0.252,1.892043919893443,-0.8661003519138657
0.253,1.891177386346966,-0.8696328334133835
0.254,1.89030731855216,-0.8731663268031713
0.255,1.8894337154966283,-0.8767008335361698
0.256,1.888556576166521,-0.8802363550330793
0.257,1.8876758995465668,-0.8837728926822
0.258,1.886791684620105,-0.8873104478392717
0.259,1.8859039303691187,-0.8908490218273127
0.26,1.8850126357742676,-0.8943886159364598
0.261,1.8841177998149201,-0.8979292314238062
0.262,1.8832194214691873,-0.9014708695132407
0.263,1.8823174997139556,-0.9050135313952855
0.264,1.8814120335249203,-0.9085572182269344
